pubchem_cid	concept_id	concept_name	total_labels	type	n_labels	percent_labels	occurs_min	occurs_max	occurs_mean	occurs_mode	occurs_sd	occurs_iqr
5815	C0221423	sickness	15	indication	6	0.4	1	1	1	1	0	0
4064	C0003467	anxiety	5	indication	5	1	2	2	2	2	0	0
6741	C0034902	pure red cell aplasia	39	indication	11	0.282051282051282	1	1	1	1	0	0
222786	C0032285	pneumonia	2	indication	2	1	1	1	1	1	0	0
28417	C0016034	fibrocystic breast	2	indication	2	1	4	4	4	4	0	0
5284583	C0033046	pms	83	indication	3	0.036144578313253	1	1	1	1	0	0
6741	C0041834	erythema	39	indication	38	0.974358974358974	1	1	1	1	0	0
5878	C0687133	Interactions	10	indication	2	0.2	1	1	1	1	0	0
4673	C0153690	bone metastases	30	indication	27	0.9	1	2	1.7037037037037	2	0.465321626968075	1
271	C0013395	dyspepsia	18	indication	1	0.0555555555555556	1	1	1	1		0
383413	C0040100	thymoma	20	indication	1	0.05	1	1	1	1		0
3366	C0021311	infection	4	indication	4	1	1	1	1	1	0	0
30323	C0023449	acute lymphoblastic leukemia	3	indication	2	0.666666666666667	1	1	1	1	0	0
3305	C0029401	osteitis deformans	5	indication	2	0.4	1	1	1	1	0	0
4659569	C0424092	withdrawn	1	indication	1	1	1	1	1	1		0
4173	C0014130	Endocrine Disorders	79	indication	3	0.0379746835443038	1	1	1	1	0	0
12560	C0002438	amebiasis	72	indication	40	0.555555555555556	1	1	1	1	0	0
4946	C0080203	tachyarrhythmias	46	indication	8	0.173913043478261	2	2	2	2	0	0
271	C0037274	skin disorder	18	indication	3	0.166666666666667	1	1	1	1	0	0
12560	C2931317	primary syphilis	72	indication	46	0.638888888888889	1	2	1.45652173913043	1	0.503610155185335	1
3032	C0022602	actinic keratoses	66	indication	2	0.0303030303030303	1	2	1.5	1	0.707106781186548	0.5
5280754	C0018133	GVHD	25	indication	10	0.4	1	1	1	1	0	0
2140	C0019880	homocystinuria	15	indication	1	0.0666666666666667	1	1	1	1		0
39186	C0004239	atrial flutter	68	indication	6	0.0882352941176471	2	2	2	2	0	0
2770	C0302592	Cervical cancer	5	indication	1	0.2	1	1	1	1		0
5282451	C0020473	hyperlipidemia	1	indication	1	1	2	2	2	2		0
5510	C0040252	tinea corporis	1	indication	1	1	1	1	1	1		0
4991	C0947912	myasthenia	13	indication	7	0.538461538461538	1	1	1	1	0	0
27447	C0033581	prostatitis	41	indication	41	1	1	1	1	1	0	0
63009	C0233477	dysphoria	94	indication	54	0.574468085106383	1	1	1	1	0	0
168708	C0007222	cardiovascular disease	45	indication	3	0.0666666666666667	1	1	1	1	0	0
4449	C0011581	depressive disorder	4	indication	3	0.75	1	1	1	1	0	0
2435	C0234708	increased intraocular pressure	15	indication	2	0.133333333333333	1	1	1	1	0	0
12560	C0040425	tonsillitis	72	indication	44	0.611111111111111	1	1	1	1	0	0
6322	C0013336	dwarfism	2	indication	2	1	1	1	1	1	0	0
71368	C0549473	thyroid cancer	5	indication	3	0.6	1	1	1	1	0	0
5755	C0027726	nephrotic syndrome	30	indication	18	0.6	1	1	1	1	0	0
4911	C0740394	hyperuricemia	3	indication	3	1	1	1	1	1	0	0
392622	C1306577	death	11	indication	6	0.545454545454545	2	2	2	2	0	0
383413	C0030554	paresthesia	20	indication	11	0.55	1	1	1	1	0	0
444795	C0037286	skin neoplasm	36	indication	9	0.25	1	1	1	1	0	0
6041	C0020517	hypersensitivity	11	indication	6	0.545454545454545	1	1	1	1	0	0
6741	C0002792	anaphylaxis	39	indication	6	0.153846153846154	2	2	2	2	0	0
4189	C0085166	bacterial vaginosis	14	indication	2	0.142857142857143	1	1	1	1	0	0
5852	C0268070	low copper	9	indication	3	0.333333333333333	1	1	1	1	0	0
1983	C0003864	arthritis	8	indication	3	0.375	1	1	1	1	0	0
56338	C0162557	acute liver failure	11	indication	1	0.0909090909090909	1	1	1	1		0
657180	C0376358	prostate cancer	12	indication	11	0.916666666666667	1	1	1	1	0	0
5281006	C0010692	cystitis	32	indication	15	0.46875	1	1	1	1	0	0
5280965	C0006852	vaginal moniliasis	8	indication	1	0.125	1	1	1	1		0
10631	C0016382	flushing	39	indication	4	0.102564102564103	1	1	1	1	0	0
5819	C0006826	cancer	113	indication	90	0.79646017699115	1	1	1	1	0	0
5280453	C0029405	osteitis fibrosa cystica	15	indication	4	0.266666666666667	1	1	1	1	0	0
5362118	C0001792	geriatric	94	indication	3	0.0319148936170213	1	1	1	1	0	0
5324345	C0349217	depressive episode	26	indication	1	0.0384615384615385	1	1	1	1		0
5215	C0015967	fever	1	indication	1	1	1	1	1	1		0
2118	C0027497	nausea	54	indication	52	0.962962962962963	1	1	1	1	0	0
392622	C0019693	HIV infection	11	indication	10	0.909090909090909	1	2	1.2	1	0.421637021355784	0
5852	C0003873	rheumatoid arthritis	9	indication	4	0.444444444444444	2	2	2	2	0	0
5852	C0232807	decreased renal function	9	indication	1	0.111111111111111	1	1	1	1		0
5743	C0002171	alopecia areata	29	indication	8	0.275862068965517	1	1	1	1	0	0
27661	C0235462	angina attacks	4	indication	2	0.5	1	1	1	1	0	0
5833	C0007222	cardiovascular disease	19	indication	17	0.894736842105263	1	1	1	1	0	0
4205	C0233633	slowed thinking	59	indication	34	0.576271186440678	1	1	1	1	0	0
5281040	C0079043	bronchoconstriction	31	indication	14	0.451612903225806	1	1	1	1	0	0
176870	C0346647	pancreatic cancer	10	indication	5	0.5	2	2	2	2	0	0
27447	C0029882	otitis media	41	indication	41	1	1	1	1	1	0	0
6215	C0009450	infectious	18	indication	2	0.111111111111111	1	1	1	1	0	0
2756	C0013295	duodenal ulcer	6	indication	6	1	2	2	2	2	0	0
444	C0234533	generalized seizures	82	indication	22	0.268292682926829	1	1	1	1	0	0
60822	C0025320	menopause	23	indication	1	0.0434782608695652	1	1	1	1		0
2244	C0026857	Musculoskeletal System Disorders	16	indication	8	0.5	1	1	1	1	0	0
9294	C0018794	heart block	3	indication	1	0.333333333333333	1	1	1	1		0
5479537	C0003615	appendicitis	13	indication	2	0.153846153846154	1	1	1	1	0	0
5754	C0020437	hypercalcemia	67	indication	10	0.149253731343284	1	1	1	1	0	0
441335	C0037274	skin disorder	33	indication	27	0.818181818181818	1	1	1	1	0	0
9854489	C2607914	allergic rhinitis	1	indication	1	1	1	1	1	1		0
2140	C0004610	bacteremia	15	indication	1	0.0666666666666667	1	1	1	1		0
6918456	C1306577	death	2	indication	2	1	1	1	1	1	0	0
3156	C1321587	deep breathing	3	indication	3	1	1	1	1	1	0	0
41867	C1261473	sarcoma	17	indication	1	0.0588235294117647	3	3	3	3		0
6741	C0022081	iritis	39	indication	20	0.512820512820513	1	1	1	1	0	0
3467	C0013595	eczema	26	indication	7	0.269230769230769	1	1	1	1	0	0
3954	C0021390	inflammatory bowel disease	11	indication	10	0.909090909090909	1	1	1	1	0	0
5362129	C0268790	renovascular	46	indication	28	0.608695652173913	1	1	1	1	0	0
4236	C0013144	drowsiness	6	indication	6	1	1	1	1	1	0	0
2118	C0038990	sweating	54	indication	52	0.962962962962963	1	1	1	1	0	0
3467	C0243026	sepsis	26	indication	9	0.346153846153846	1	1	1	1	0	0
9875401	C0004238	atrial fibrillation	1	indication	1	1	2	2	2	2		0
71301	C0021308	infarction	3	indication	2	0.666666666666667	2	2	2	2	0	0
60822	C0042373	vascular disease	23	indication	19	0.826086956521739	1	1	1	1	0	0
31703	C1261473	sarcoma	15	indication	13	0.866666666666667	1	2	1.53846153846154	2	0.518874521662771	1
6445540	C0027651	tumor	1	indication	1	1	1	1	1	1		0
39042	C0852949	artery disease	1	indication	1	1	1	1	1	1		0
441401	C0042029	urinary tract infection	12	indication	2	0.166666666666667	1	1	1	1	0	0
6915944	C0024959	maxillary sinusitis	20	indication	20	1	1	1	1	1	0	0
37542	C0019693	HIV infection	37	indication	9	0.243243243243243	1	1	1	1	0	0
3698	C0018801	heart failure	1	indication	1	1	1	1	1	1		0
460612	C0015967	fever	7	indication	2	0.285714285714286	1	1	1	1	0	0
9782	C0041327	pulmonary tuberculosis	35	indication	3	0.0857142857142857	1	1	1	1	0	0
443872	C0021308	infarction	6	indication	5	0.833333333333333	2	2	2	2	0	0
451668	C0023418	leukemia	2	indication	2	1	1	1	1	1	0	0
2267	C0035460	Vasomotor rhinitis	13	indication	6	0.461538461538462	1	1	1	1	0	0
5481350	C0392390	HBeAg positive	15	indication	1	0.0666666666666667	1	1	1	1		0
3724	C0032000	pituitary adenomas	5	indication	2	0.4	1	1	1	1	0	0
5284627	C0023003	LGS	83	indication	16	0.192771084337349	1	1	1	1	0	0
31307	C2607914	allergic rhinitis	62	indication	18	0.290322580645161	1	1	1	1	0	0
9782	C0041582	ulcer	35	indication	3	0.0857142857142857	1	1	1	1	0	0
62819	C0003128	anovulation	1	indication	1	1	1	1	1	1		0
168708	C0206159	postmenopausal period	45	indication	1	0.0222222222222222	1	1	1	1		0
2802	C2242996	tingling	34	indication	23	0.676470588235294	1	1	1	1	0	0
2094	C0683278	suffering	27	indication	3	0.111111111111111	1	1	1	1	0	0
31307	C0085074	granuloma annulare	62	indication	6	0.0967741935483871	1	1	1	1	0	0
3365	C0021051	immunodeficiency	48	indication	14	0.291666666666667	2	2	2	2	0	0
5533	C0231230	fatigability	21	indication	11	0.523809523809524	1	1	1	1	0	0
2802	C0233754	derealization	34	indication	23	0.676470588235294	1	1	1	1	0	0
5959	C0004610	bacteremia	4	indication	2	0.5	1	1	1	1	0	0
104865	C0021051	immunodeficiency	11	indication	2	0.181818181818182	1	1	1	1	0	0
441276	C0237849	desquamation	12	indication	1	0.0833333333333333	2	2	2	2		0
5754	C0036202	sarcoidosis	67	indication	10	0.149253731343284	1	1	1	1	0	0
6741	C0029077	Sympathetic ophthalmia	39	indication	29	0.743589743589744	1	1	1	1	0	0
4946	C0042514	ventricular tachycardia	46	indication	8	0.173913043478261	1	1	1	1	0	0
446157	C0598784	dyslipoproteinemia	16	indication	4	0.25	1	1	1	1	0	0
5785	C0043167	Pertussis	2	indication	2	1	1	1	1	1	0	0
31401	C0023892	biliary cirrhosis	21	indication	10	0.476190476190476	1	1	1	1	0	0
456201	C0026946	fungal infection	21	indication	10	0.476190476190476	1	1	1	1	0	0
5458213	C0159125	culture positive	11	indication	10	0.909090909090909	1	1	1	1	0	0
5743	C0009759	conjunctiva	29	indication	7	0.241379310344828	1	1	1	1	0	0
5754	C0019364	Herpes zoster ophthalmicus	67	indication	8	0.119402985074627	2	2	2	2	0	0
8271	C0014544	epilepsy	2	indication	2	1	1	1	1	1	0	0
43805	C0242656	progression	19	indication	1	0.0526315789473684	1	1	1	1		0
5755	C0851444	allergic conditions	30	indication	20	0.666666666666667	1	2	1.1	1	0.307793505625546	0
5878	C0235439	ankle edema	10	indication	2	0.2	1	1	1	1	0	0
5510	C0555973	foot infections	1	indication	1	1	1	1	1	1		0
4101	C0015967	fever	8	indication	1	0.125	1	1	1	1		0
3157	C0232841	bladder dysfunction	24	indication	3	0.125	1	1	1	1	0	0
3767	C0006147	lactation	18	indication	17	0.944444444444444	1	1	1	1	0	0
5754	C0014335	enteritis	67	indication	10	0.149253731343284	1	1	1	1	0	0
5353853	C0040259	tinea pedis	6	indication	6	1	1	1	1	1	0	0
3121	C0344315	depressed mood	106	indication	11	0.10377358490566	1	1	1	1	0	0
5379	C0016436	folliculitis	18	indication	7	0.388888888888889	1	1	1	1	0	0
57469	C0009663	Genital Warts	20	indication	20	1	1	2	1.65	2	0.489360484929593	1
5481350	C1306577	death	15	indication	12	0.8	1	1	1	1	0	0
56338	C1306577	death	11	indication	1	0.0909090909090909	1	1	1	1		0
60855	C0004096	asthma	6	indication	6	1	1	1	1	1	0	0
3394	C0013390	dysmenorrhea	9	indication	2	0.222222222222222	1	1	1	1	0	0
5533	C1269683	major depressive disorder	21	indication	1	0.0476190476190476	2	2	2	2		0
6604100	C0220981	metabolic acidosis	7	indication	2	0.285714285714286	1	1	1	1	0	0
3032	C0242656	progression	66	indication	1	0.0151515151515152	1	1	1	1		0
56338	C0020517	hypersensitivity	11	indication	1	0.0909090909090909	2	2	2	2		0
2140	C0027868	neuromyopathy	15	indication	1	0.0666666666666667	1	1	1	1		0
5359476	C0003864	arthritis	14	indication	3	0.214285714285714	1	1	1	1	0	0
2349	C0008489	chorea	1	indication	1	1	1	1	1	1		0
2724385	C0001792	geriatric	22	indication	8	0.363636363636364	1	1	1	1	0	0
5743	C0003868	gouty arthritis	29	indication	20	0.689655172413793	1	1	1	1	0	0
3386	C0008301	choking	87	indication	20	0.229885057471264	1	1	1	1	0	0
43805	C0006142	breast cancer	19	indication	1	0.0526315789473684	1	1	1	1		0
3759	C0003467	anxiety	3	indication	3	1	2	2	2	2	0	0
5280453	C0005944	metabolic bone disease	15	indication	4	0.266666666666667	1	1	1	1	0	0
43815	C0016382	flushing	95	indication	73	0.768421052631579	1	1	1	1	0	0
60606	C0002965	unstable angina	20	indication	20	1	1	1	1	1	0	0
5755	C0700198	aspiration	30	indication	10	0.333333333333333	1	1	1	1	0	0
3675	C0003467	anxiety	8	indication	8	1	1	1	1	1	0	0
60749	C0278488	metastatic breast cancer	28	indication	18	0.642857142857143	1	1	1	1	0	0
702	C0232352	vascular insufficiency	3	indication	2	0.666666666666667	1	1	1	1	0	0
2118	C0030252	palpitations	54	indication	52	0.962962962962963	1	1	1	1	0	0
5284537	C0376358	prostate cancer	4	indication	1	0.25	1	1	1	1		0
4205	C0235198	impaired concentration	59	indication	34	0.576271186440678	1	1	1	1	0	0
5755	C0013404	dyspnea	30	indication	11	0.366666666666667	1	1	1	1	0	0
5401	C0005683	bladder calculus	30	indication	12	0.4	2	2	2	2	0	0
1548952	C0029927	ovarian cyst	4	indication	4	1	1	1	1	1	0	0
2995	C0027932	neurosis	15	indication	4	0.266666666666667	1	1	1	1	0	0
24836902	C0278061	altered mental status	3	indication	2	0.666666666666667	3	3	3	3	0	0
29327	C0030286	Pancreas	3	indication	3	1	1	1	1	1	0	0
54384	C0009766	Allergic conjunctivitis	1	indication	1	1	1	1	1	1		0
2812	C0040259	tinea pedis	14	indication	4	0.285714285714286	1	1	1	1	0	0
4539	C0001792	geriatric	10	indication	2	0.2	1	1	1	1	0	0
37768	C0042029	urinary tract infection	2	indication	2	1	1	1	1	1	0	0
37542	C0035243	respiratory tract infection	37	indication	2	0.0540540540540541	1	2	1.5	2	0.707106781186548	0.5
38904	C0007097	carcinoma	5	indication	3	0.6	2	2	2	2	0	0
4171	C0018801	heart failure	89	indication	25	0.280898876404494	2	2	2	2	0	0
772	C1145670	respiratory failure	16	indication	4	0.25	1	1	1	1	0	0
5852	C0010691	cystinuria	9	indication	4	0.444444444444444	2	2	2	2	0	0
77993	C0270860	basilar migraine	5	indication	5	1	1	1	1	1	0	0
16132438	C0020456	hyperglycemia	17	indication	12	0.705882352941177	1	1	1	1	0	0
6602291	C0014118	endocarditis	4	indication	1	0.25	1	1	1	1		0
5281011	C0037199	sinusitis	38	indication	6	0.157894736842105	1	1	1	1	0	0
5865	C0009319	colitis	43	indication	43	1	1	1	1	1	0	0
10607	C0375016	human papillomavirus	7	indication	7	1	1	1	1	1	0	0
3345	C0006625	cachexia	64	indication	14	0.21875	1	1	1	1	0	0
166548	C1609535	invasive candidiasis	6	indication	1	0.166666666666667	1	1	1	1		0
60606	C0038454	cerebrovascular accident	20	indication	20	1	2	2	2	2	0	0
5281106	C0553662	juvenile rheumatoid arthritis	66	indication	5	0.0757575757575758	1	2	1.4	1	0.547722557505166	1
73491	C0004659	bacteriuria	3	indication	3	1	1	1	1	1	0	0
4485	C0002963	Vasospastic Angina	27	indication	18	0.666666666666667	2	2	2	2	0	0
6869	C0031350	pharyngitis	7	indication	7	1	1	1	1	1	0	0
6333887	C0029408	osteoarthritis	2	indication	1	0.5	1	1	1	1		0
24836902	C0220854	hyperpnea	3	indication	2	0.666666666666667	1	1	1	1	0	0
33613	C0041582	ulcer	56	indication	47	0.839285714285714	1	1	1	1	0	0
3348	C0221232	wheal	22	indication	16	0.727272727272727	1	1	1	1	0	0
53232	C0027051	myocardial infarction	48	indication	45	0.9375	1	1	1	1	0	0
2585	C0264716	chronic heart failure	51	indication	3	0.0588235294117647	1	1	1	1	0	0
4449	C0024517	major depressive episode	4	indication	3	0.75	1	1	1	1	0	0
6604200	C0149523	acute cystitis	23	indication	13	0.565217391304348	1	1	1	1	0	0
3011155	C0023449	acute lymphoblastic leukemia	1	indication	1	1	2	2	2	2		0
124087	C0042109	urticaria	14	indication	13	0.928571428571429	2	3	2.84615384615385	3	0.375533808099405	0
26987	C0035455	rhinitis	3	indication	3	1	1	1	1	1	0	0
1054	C0027498	nausea and vomiting	1	indication	1	1	1	1	1	1		0
2749	C0006840	moniliasis	43	indication	12	0.27906976744186	2	2	2	2	0	0
6010	C0034012	Delayed puberty	3	indication	3	1	1	1	1	1	0	0
27991	C0005778	coagulation	37	indication	2	0.0540540540540541	1	2	1.5	1	0.707106781186548	0.5
31401	C0023895	liver disease	21	indication	6	0.285714285714286	1	1	1	1	0	0
3767	C1320835	drug fever	18	indication	1	0.0555555555555556	1	1	1	1		0
9815560	C0028778	obstruction	3	indication	3	1	1	1	1	1	0	0
5281104	C0035078	renal failure	7	indication	3	0.428571428571429	1	1	1	1	0	0
4601	C0234215	discomfort	16	indication	15	0.9375	1	1	1	1	0	0
150610	C0029443	osteomyelitis	12	indication	7	0.583333333333333	1	1	1	1	0	0
2140	C0007785	cerebral infarction	15	indication	5	0.333333333333333	2	2	2	2	0	0
5281021	C0600041	bladder infection	34	indication	4	0.117647058823529	1	1	1	1	0	0
15541	C0007860	cervicitis	1	indication	1	1	1	1	1	1		0
5734	C0014544	epilepsy	19	indication	19	1	1	1	1	1	0	0
126941	C0553662	juvenile rheumatoid arthritis	11	indication	7	0.636363636363636	2	2	2	2	0	0
456201	C0006845	chronic mucocutaneous candidiasis	21	indication	8	0.380952380952381	1	1	1	1	0	0
5755	C0014742	erythema multiforme	30	indication	20	0.666666666666667	1	1	1	1	0	0
5743	C0006444	bursitis	29	indication	15	0.517241379310345	1	1	1	1	0	0
5281099	C0005741	blepharitis	1	indication	1	1	1	1	1	1		0
43815	C0349217	depressive episode	95	indication	59	0.621052631578947	1	1	1	1	0	0
2895	C0037928	spinal cord disease	41	indication	40	0.975609756097561	1	1	1	1	0	0
4170	C0542203	retention of water	4	indication	2	0.5	1	1	1	1	0	0
3156	C0242184	hypoxia	3	indication	3	1	1	1	1	1	0	0
3672	C0016382	flushing	104	indication	7	0.0673076923076923	1	1	1	1	0	0
129228	C0023003	LGS	1	indication	1	1	1	1	1	1		0
19090	C0018790	arrest	13	indication	1	0.0769230769230769	1	1	1	1		0
3414	C0010823	CMV infection	5	indication	2	0.4	1	1	1	1	0	0
2770	C0476089	endometrial cancer	5	indication	1	0.2	1	1	1	1		0
44187	C0851881	enterococcal infections	2	indication	2	1	2	2	2	2	0	0
63009	C0424091	loss of interest	94	indication	55	0.585106382978723	1	2	1.65454545454545	2	0.479898979268586	1
5865	C0009766	Allergic conjunctivitis	43	indication	43	1	1	1	1	1	0	0
784	C1579838	sore mouth	4	indication	3	0.75	1	1	1	1	0	0
2720	C0020437	hypercalcemia	8	indication	2	0.25	1	1	1	1	0	0
5754	C0035455	rhinitis	67	indication	10	0.149253731343284	1	1	1	1	0	0
3783	C0085096	peripheral vascular disorder	1	indication	1	1	1	1	1	1		0
681	C0009421	coma	7	indication	7	1	1	1	1	1	0	0
3386	C0234369	trembling	87	indication	21	0.241379310344828	1	1	1	1	0	0
3393	C0917801	insomnia	10	indication	8	0.8	1	1	1	1	0	0
154417	C0000729	abdominal cramps	23	indication	23	1	1	1	1	1	0	0
5210	C0028754	obesity	4	indication	2	0.5	1	1	1	1	0	0
168708	C0020502	hyperparathyroidism	45	indication	1	0.0222222222222222	1	1	1	1		0
33036	C0009766	Allergic conjunctivitis	1	indication	1	1	1	1	1	1		0
153941	C0042721	viral hepatitis	8	indication	5	0.625	1	1	1	1	0	0
888	C0027697	nephritis	11	indication	3	0.272727272727273	1	1	1	1	0	0
3108	C1956346	coronary artery disease	19	indication	3	0.157894736842105	1	1	1	1	0	0
444795	C0022593	keratosis	36	indication	9	0.25	1	1	1	1	0	0
5755	C0702166	acne	30	indication	4	0.133333333333333	1	1	1	1	0	0
9690109	C0917799	hypersomnia	1	indication	1	1	1	1	1	1		0
3151	C0020651	postural hypotension	9	indication	1	0.111111111111111	1	1	1	1		0
5281021	C0000833	abscess	34	indication	4	0.117647058823529	1	1	1	1	0	0
39147	C0002962	angina	2	indication	2	1	4	4	4	4	0	0
5430	C0086227	threadworm	3	indication	3	1	3	3	3	3	0	0
24847866	C0520989	viral resistance	8	indication	7	0.875	1	1	1	1	0	0
3180	C1579838	sore mouth	1	indication	1	1	1	1	1	1		0
16129617	C0264122	disuse atrophy	5	indication	5	1	1	1	1	1	0	0
2019	C1261473	sarcoma	4	indication	4	1	1	1	1	1	0	0
5833	C0032914	toxemia of pregnancy	19	indication	17	0.894736842105263	1	1	1	1	0	0
5281008	C0043407	Yersinia	6	indication	6	1	1	1	1	1	0	0
3157	C0005683	bladder calculus	24	indication	3	0.125	2	2	2	2	0	0
4170	C0042131	uterus	4	indication	2	0.5	1	1	1	1	0	0
441140	C0040250	Tinea capitis	8	indication	8	1	2	2	2	2	0	0
5152	C0034067	emphysema	13	indication	13	1	1	1	1	1	0	0
31100	C0014130	Endocrine Disorders	7	indication	6	0.857142857142857	1	1	1	1	0	0
3749	C0242656	progression	11	indication	11	1	1	1	1	1	0	0
466146	C0010823	CMV infection	1	indication	1	1	1	1	1	1		0
73491	C0000833	abscess	3	indication	3	1	1	1	1	1	0	0
65492	C0030283	pancreatic cyst	5	indication	3	0.6	1	1	1	1	0	0
4829	C1306577	death	43	indication	1	0.0232558139534884	1	1	1	1		0
60834	C0038661	suicide	21	indication	19	0.904761904761905	1	1	1	1	0	0
5754	C0085669	acute leukemia	67	indication	8	0.119402985074627	1	1	1	1	0	0
12560	C0027438	nasopharynx	72	indication	46	0.638888888888889	1	1	1	1	0	0
2895	C0425946	short periods	41	indication	41	1	1	1	1	1	0	0
7029	C1510472	drug dependence	17	indication	2	0.117647058823529	1	1	1	1	0	0
441276	C0677850	adjunctive treatment	12	indication	6	0.5	1	1	1	1	0	0
5280453	C0001792	geriatric	15	indication	2	0.133333333333333	1	1	1	1	0	0
5852	C0034186	pyelonephritis	9	indication	4	0.444444444444444	1	1	1	1	0	0
25077179	C0033575	prostate	2	indication	2	1	1	1	1	1	0	0
168708	C0271606	primary ovarian failure	45	indication	4	0.0888888888888889	1	1	1	1	0	0
4173	C0243001	abdominal abscess	79	indication	30	0.379746835443038	1	1	1	1	0	0
5743	C0025289	meningitis	29	indication	20	0.689655172413793	1	1	1	1	0	0
6741	C0030807	pemphigus	39	indication	38	0.974358974358974	1	1	1	1	0	0
31307	C0018188	granuloma	62	indication	6	0.0967741935483871	1	1	1	1	0	0
5755	C0011615	atopic dermatitis	30	indication	20	0.666666666666667	1	3	1.2	1	0.523148363780597	0
6251	C0022660	acute renal failure	6	indication	4	0.666666666666667	1	1	1	1	0	0
5743	C0002871	anemia	29	indication	20	0.689655172413793	1	1	1	1	0	0
60855	C0221423	sickness	6	indication	6	1	1	1	1	1	0	0
16132265	C0038012	spondylitis	1	indication	1	1	1	1	1	1		0
3397	C0600139	carcinoma of the prostate	4	indication	4	1	2	2	2	2	0	0
4409	C0003873	rheumatoid arthritis	13	indication	13	1	1	1	1	1	0	0
5284537	C0033575	prostate	4	indication	1	0.25	1	1	1	1		0
60822	C0853084	raised HDL	23	indication	4	0.173913043478261	1	1	1	1	0	0
150610	C1565489	renal insufficiency	12	indication	1	0.0833333333333333	2	2	2	2		0
5280723	C0003492	coarctation	6	indication	2	0.333333333333333	2	2	2	2	0	0
